contig	length_kb	n_frags	cumul_length
sctg_0	3745584	37	0
sctg_10	1271836	14	37
sctg_100	546921	6	51
sctg_1000	6814	1	57
sctg_1001	6781	2	58
sctg_1002	6756	2	60
sctg_1003	6685	2	62
sctg_1004	6716	2	64
sctg_1006	6569	1	66
sctg_1007	6549	2	67
sctg_1008	6555	1	69
sctg_1009	6537	2	70
sctg_101	536733	6	72
sctg_1010	6597	2	78
sctg_1011	6515	2	80
sctg_1012	7278	1	82
sctg_1013	6499	1	83
sctg_1014	12980	1	84
sctg_1015	6416	2	85
sctg_1016	6410	1	87
sctg_1017	6407	2	88
sctg_1018	6380	2	90
sctg_1019	6846	2	92
sctg_102	520191	6	94
sctg_1020	6345	1	100
sctg_1021	6315	2	101
sctg_1022	6313	1	103
sctg_1023	6307	2	104
sctg_1024	6307	2	106
sctg_1026	13677	2	108
sctg_1027	8812	1	110
sctg_1028	14884	1	111
sctg_1029	6278	1	112
sctg_103	523379	5	113
sctg_1030	6264	2	118
sctg_1031	6254	2	120
sctg_1032	6248	2	122
sctg_1033	6243	1	124
sctg_1034	6234	1	125
sctg_1035	15062	1	126
sctg_1036	8633	1	127
sctg_1037	6207	2	128
sctg_1038	6258	2	130
sctg_1039	6183	1	132
sctg_104	522721	5	133
sctg_1040	5073	2	138
sctg_1041	6242	2	140
sctg_1042	6125	2	142
sctg_1043	6221	2	144
sctg_1044	6079	2	146
sctg_1045	6040	2	148
sctg_1046	6030	1	150
sctg_1047	6240	2	151
sctg_1048	6016	1	153
sctg_1049	6015	2	154
sctg_105	521263	5	156
sctg_1051	5972	2	161
sctg_1052	5968	1	163
sctg_1053	13894	1	164
sctg_1054	5951	2	165
sctg_1055	6522	2	167
sctg_1056	5934	1	169
sctg_1058	5928	2	170
sctg_1059	5925	1	172
sctg_106	515965	6	173
sctg_1060	5909	2	179
sctg_1061	5894	2	181
sctg_1062	5885	2	183
sctg_1063	5884	1	185
sctg_1064	5876	1	186
sctg_1065	5859	1	187
sctg_1066	6827	1	188
sctg_1067	5833	2	189
sctg_1068	4000	2	191
sctg_1069	5761	1	193
sctg_107	521539	5	194
sctg_1070	5768	2	199
sctg_1071	5764	2	201
sctg_1072	5754	1	203
sctg_1073	5752	1	204
sctg_1074	5799	2	205
sctg_1075	7698	2	207
sctg_1076	5691	2	209
sctg_1077	5613	1	211
sctg_1078	5633	2	212
sctg_1079	5697	1	214
sctg_108	521777	6	215
sctg_1080	6036	2	221
sctg_1081	5574	2	223
sctg_1082	6817	2	225
sctg_1083	5660	2	227
sctg_1084	5551	2	229
sctg_1085	7155	1	231
sctg_1086	5498	2	232
sctg_1087	5492	1	234
sctg_1088	6276	2	235
sctg_1089	10690	2	237
sctg_109	511637	6	239
sctg_1090	6191	2	245
sctg_1091	5426	1	247
sctg_1092	5641	2	248
sctg_1093	5382	2	250
sctg_1094	6283	1	252
sctg_1095	8793	1	253
sctg_1097	5357	2	254
sctg_1098	5323	2	256
sctg_1099	6148	2	258
sctg_11	1201849	13	260
sctg_110	518109	5	273
sctg_1100	5400	2	278
sctg_1101	5385	1	280
sctg_1102	5281	2	281
sctg_1103	5404	2	283
sctg_1104	5225	2	285
sctg_1105	5188	2	287
sctg_1106	5185	1	289
sctg_1107	5357	1	290
sctg_1108	5453	2	291
sctg_1109	5160	1	293
sctg_111	507503	5	294
sctg_1110	5157	2	299
sctg_1111	6071	2	301
sctg_1112	5116	2	303
sctg_1113	9309	1	305
sctg_1114	5082	2	306
sctg_1115	6407	2	308
sctg_1116	5232	1	310
sctg_1117	5094	2	311
sctg_1118	4977	2	313
sctg_1119	13383	2	315
sctg_112	523010	5	317
sctg_1120	4942	2	322
sctg_1122	6119	1	324
sctg_1123	6258	1	325
sctg_1124	4916	1	326
sctg_1125	5477	1	327
sctg_1126	4914	2	328
sctg_1127	5881	1	330
sctg_1128	3611	1	331
sctg_1129	12920	1	332
sctg_113	497380	5	333
sctg_1130	4893	2	338
sctg_1131	4847	2	340
sctg_1132	6323	1	342
sctg_1133	7053	1	343
sctg_1135	6807	2	344
sctg_1136	4812	2	346
sctg_1137	6368	2	348
sctg_1138	4762	2	350
sctg_1139	4326	1	352
sctg_114	502603	5	353
sctg_1140	6597	1	358
sctg_1141	6101	2	359
sctg_1143	6148	2	361
sctg_1144	4647	2	363
sctg_1146	4627	1	365
sctg_1147	4576	2	366
sctg_1148	5345	2	368
sctg_1149	4604	2	370
sctg_115	504428	5	372
sctg_1150	3644	2	377
sctg_1151	4688	1	379
sctg_1152	4578	1	380
sctg_1154	4537	1	381
sctg_1156	4501	2	382
sctg_1157	4473	2	384
sctg_1158	3763	2	386
sctg_116	506676	5	388
sctg_1160	4561	2	393
sctg_1161	4460	2	395
sctg_1162	4453	1	397
sctg_1163	4450	2	398
sctg_1166	4904	2	400
sctg_1167	4510	2	402
sctg_1168	4333	2	404
sctg_117	508313	5	406
sctg_1171	4460	2	411
sctg_1172	4309	1	413
sctg_1173	7246	2	414
sctg_1175	3664	2	416
sctg_1177	12690	2	418
sctg_118	496777	5	420
sctg_1180	4197	1	425
sctg_1182	4322	2	426
sctg_1183	4677	2	428
sctg_1186	4041	2	430
sctg_1187	4057	2	432
sctg_1189	3515	1	434
sctg_119	491596	6	435
sctg_1190	4113	2	441
sctg_1192	3977	2	443
sctg_1193	3933	2	445
sctg_1194	3915	1	447
sctg_1195	3912	1	448
sctg_1199	3903	1	449
sctg_12	1207602	12	450
sctg_120	483608	5	462
sctg_1202	3794	1	467
sctg_1203	3793	2	468
sctg_1204	6539	1	470
sctg_1205	3745	1	471
sctg_1206	3720	2	472
sctg_1208	3662	2	474
sctg_121	515706	5	476
sctg_1211	3621	2	481
sctg_1212	3615	1	483
sctg_1214	3603	1	484
sctg_1215	3578	1	485
sctg_122	487711	5	486
sctg_1226	3460	1	491
sctg_123	494152	5	492
sctg_1230	4305	1	497
sctg_1232	3412	2	498
sctg_1233	3410	1	500
sctg_1234	3398	1	501
sctg_1237	3373	2	502
sctg_124	476472	5	504
sctg_1242	3339	1	509
sctg_1243	5827	1	510
sctg_1246	3295	1	511
sctg_1247	6164	1	512
sctg_1249	3272	2	513
sctg_125	479714	5	515
sctg_1250	3263	2	520
sctg_1251	4029	2	522
sctg_1252	3250	2	524
sctg_1253	3243	1	526
sctg_1254	3240	1	527
sctg_1256	3228	2	528
sctg_1257	3226	1	530
sctg_126	483671	5	531
sctg_1262	3198	1	536
sctg_1263	3181	1	537
sctg_1269	7171	2	538
sctg_127	478815	5	540
sctg_1270	3148	2	545
sctg_1273	3117	2	547
sctg_1274	3109	2	549
sctg_1276	5519	1	551
sctg_1277	3093	2	552
sctg_1278	3087	1	554
sctg_1279	3085	1	555
sctg_128	478782	5	556
sctg_1280	3084	2	561
sctg_1283	3076	2	563
sctg_1285	3067	1	565
sctg_1286	3060	2	566
sctg_1288	3047	1	568
sctg_1289	3042	1	569
sctg_129	473873	5	570
sctg_1292	3023	2	575
sctg_1295	3005	2	577
