contig	length_kb	n_frags	cumul_length
sctg_0	3745584	8880	0
sctg_10	1271836	3210	8880
sctg_100	546921	1357	12090
sctg_1000	6814	24	13447
sctg_1001	6781	17	13471
sctg_1002	6756	14	13488
sctg_1003	6685	15	13502
sctg_1004	6716	16	13517
sctg_1006	6569	20	13533
sctg_1007	6549	17	13553
sctg_1008	6555	19	13570
sctg_1009	6537	17	13589
sctg_101	536733	1244	13606
sctg_1010	6597	14	14850
sctg_1011	6515	17	14864
sctg_1012	7278	23	14881
sctg_1013	6499	22	14904
sctg_1014	12980	23	14926
sctg_1015	6416	13	14949
sctg_1016	6410	21	14962
sctg_1017	6407	16	14983
sctg_1018	6380	16	14999
sctg_1019	6846	14	15015
sctg_102	520191	1265	15029
sctg_1020	6345	20	16294
sctg_1021	6315	10	16314
sctg_1022	6313	23	16324
sctg_1023	6307	17	16347
sctg_1024	6307	13	16364
sctg_1026	13677	11	16377
sctg_1027	8812	9	16388
sctg_1028	14884	19	16397
sctg_1029	6278	8	16416
sctg_103	523379	1189	16424
sctg_1030	6264	11	17613
sctg_1031	6254	18	17624
sctg_1032	6248	13	17642
sctg_1033	6243	19	17655
sctg_1034	6234	25	17674
sctg_1035	15062	9	17699
sctg_1036	8633	1	17708
sctg_1037	6207	12	17709
sctg_1038	6258	14	17721
sctg_1039	6183	19	17735
sctg_104	522721	1171	17754
sctg_1040	5073	29	18925
sctg_1041	6242	15	18954
sctg_1042	6125	18	18969
sctg_1043	6221	16	18987
sctg_1044	6079	11	19003
sctg_1045	6040	10	19014
sctg_1046	6030	22	19024
sctg_1047	6240	15	19046
sctg_1048	6016	20	19061
sctg_1049	6015	2	19081
sctg_105	521263	1155	19083
sctg_1051	5972	18	20238
sctg_1052	5968	19	20256
sctg_1053	13894	8	20275
sctg_1054	5951	14	20283
sctg_1055	6522	32	20297
sctg_1056	5934	7	20329
sctg_1058	5928	16	20336
sctg_1059	5925	25	20352
sctg_106	515965	1266	20377
