contig	length_kb	n_frags	cumul_length
sctg_0	3745584	329	0
sctg_10	1271836	119	329
sctg_100	546921	51	448
sctg_1000	6814	1	499
sctg_1001	6781	2	500
sctg_1002	6756	2	502
sctg_1003	6685	2	504
sctg_1004	6716	2	506
sctg_1006	6569	1	508
sctg_1007	6549	2	509
sctg_1008	6555	1	511
sctg_1009	6537	2	512
sctg_101	536733	47	514
sctg_1010	6597	2	561
sctg_1011	6515	2	563
sctg_1012	7278	1	565
sctg_1013	6499	1	566
sctg_1014	12980	1	567
sctg_1015	6416	2	568
sctg_1016	6410	1	570
sctg_1017	6407	2	571
sctg_1018	6380	2	573
sctg_1019	6846	2	575
sctg_102	520191	47	577
sctg_1020	6345	1	624
sctg_1021	6315	2	625
sctg_1022	6313	1	627
sctg_1023	6307	2	628
sctg_1024	6307	2	630
sctg_1026	13677	2	632
sctg_1027	8812	1	634
sctg_1028	14884	1	635
sctg_1029	6278	1	636
sctg_103	523379	45	637
sctg_1030	6264	2	682
sctg_1031	6254	2	684
sctg_1032	6248	2	686
sctg_1033	6243	1	688
sctg_1034	6234	1	689
sctg_1035	15062	1	690
sctg_1036	8633	1	691
sctg_1037	6207	2	692
sctg_1038	6258	2	694
sctg_1039	6183	1	696
sctg_104	522721	44	697
sctg_1040	5073	2	741
sctg_1041	6242	2	743
sctg_1042	6125	2	745
sctg_1043	6221	2	747
sctg_1044	6079	2	749
sctg_1045	6040	2	751
sctg_1046	6030	1	753
sctg_1047	6240	2	754
sctg_1048	6016	1	756
sctg_1049	6015	2	757
sctg_105	521263	43	759
sctg_1051	5972	2	802
sctg_1052	5968	1	804
sctg_1053	13894	1	805
sctg_1054	5951	2	806
sctg_1055	6522	2	808
sctg_1056	5934	1	810
sctg_1058	5928	2	811
sctg_1059	5925	1	813
sctg_106	515965	47	814
sctg_1060	5909	2	861
sctg_1061	5894	2	863
sctg_1062	5885	2	865
sctg_1063	5884	1	867
sctg_1064	5876	1	868
sctg_1065	5859	1	869
sctg_1066	6827	1	870
sctg_1067	5833	2	871
sctg_1068	4000	2	873
sctg_1069	5761	1	875
sctg_107	521539	45	876
sctg_1070	5768	2	921
sctg_1071	5764	2	923
sctg_1072	5754	1	925
sctg_1073	5752	1	926
sctg_1074	5799	2	927
sctg_1075	7698	2	929
sctg_1076	5691	2	931
sctg_1077	5613	1	933
sctg_1078	5633	2	934
sctg_1079	5697	1	936
sctg_108	521777	46	937
sctg_1080	6036	2	983
sctg_1081	5574	2	985
sctg_1082	6817	2	987
sctg_1083	5660	2	989
sctg_1084	5551	2	991
sctg_1085	7155	1	993
sctg_1086	5498	2	994
sctg_1087	5492	1	996
sctg_1088	6276	2	997
sctg_1089	10690	2	999
sctg_109	511637	48	1001
sctg_1090	6191	2	1049
sctg_1091	5426	1	1051
sctg_1092	5641	2	1052
sctg_1093	5382	2	1054
sctg_1094	6283	1	1056
sctg_1095	8793	1	1057
sctg_1097	5357	2	1058
sctg_1098	5323	2	1060
sctg_1099	6148	2	1062
sctg_11	1201849	110	1064
sctg_110	518109	42	1174
sctg_1100	5400	2	1216
sctg_1101	5385	1	1218
sctg_1102	5281	2	1219
sctg_1103	5404	2	1221
sctg_1104	5225	2	1223
sctg_1105	5188	2	1225
sctg_1106	5185	1	1227
sctg_1107	5357	1	1228
sctg_1108	5453	2	1229
sctg_1109	5160	1	1231
sctg_111	507503	44	1232
sctg_1110	5157	2	1276
sctg_1111	6071	2	1278
sctg_1112	5116	2	1280
sctg_1113	9309	1	1282
sctg_1114	5082	2	1283
sctg_1115	6407	2	1285
sctg_1116	5232	1	1287
sctg_1117	5094	2	1288
sctg_1118	4977	2	1290
sctg_1119	13383	2	1292
sctg_112	523010	45	1294
sctg_1120	4942	2	1339
sctg_1122	6119	1	1341
sctg_1123	6258	1	1342
sctg_1124	4916	1	1343
sctg_1125	5477	1	1344
sctg_1126	4914	2	1345
sctg_1127	5881	1	1347
sctg_1128	3611	1	1348
sctg_1129	12920	1	1349
sctg_113	497380	44	1350
sctg_1130	4893	2	1394
sctg_1131	4847	2	1396
sctg_1132	6323	1	1398
sctg_1133	7053	1	1399
sctg_1135	6807	2	1400
sctg_1136	4812	2	1402
sctg_1137	6368	2	1404
sctg_1138	4762	2	1406
sctg_1139	4326	1	1408
sctg_114	502603	42	1409
sctg_1140	6597	1	1451
sctg_1141	6101	2	1452
sctg_1143	6148	2	1454
sctg_1144	4647	2	1456
sctg_1146	4627	1	1458
sctg_1147	4576	2	1459
sctg_1148	5345	2	1461
sctg_1149	4604	2	1463
sctg_115	504428	45	1465
sctg_1150	3644	2	1510
sctg_1151	4688	1	1512
sctg_1152	4578	1	1513
sctg_1154	4537	1	1514
sctg_1156	4501	2	1515
sctg_1157	4473	2	1517
sctg_1158	3763	2	1519
sctg_116	506676	42	1521
sctg_1160	4561	2	1563
sctg_1161	4460	2	1565
sctg_1162	4453	1	1567
sctg_1163	4450	2	1568
sctg_1166	4904	2	1570
sctg_1167	4510	2	1572
sctg_1168	4333	2	1574
sctg_117	508313	42	1576
sctg_1171	4460	2	1618
sctg_1172	4309	1	1620
sctg_1173	7246	2	1621
sctg_1175	3664	2	1623
sctg_1177	12690	2	1625
sctg_118	496777	42	1627
sctg_1180	4197	1	1669
sctg_1182	4322	2	1670
sctg_1183	4677	2	1672
sctg_1186	4041	2	1674
sctg_1187	4057	2	1676
sctg_1189	3515	1	1678
sctg_119	491596	46	1679
sctg_1190	4113	2	1725
sctg_1192	3977	2	1727
sctg_1193	3933	2	1729
sctg_1194	3915	1	1731
sctg_1195	3912	1	1732
sctg_1199	3903	1	1733
sctg_12	1207602	107	1734
sctg_120	483608	44	1841
sctg_1202	3794	1	1885
sctg_1203	3793	2	1886
sctg_1204	6539	1	1888
sctg_1205	3745	1	1889
sctg_1206	3720	2	1890
sctg_1208	3662	2	1892
sctg_121	515706	41	1894
sctg_1211	3621	2	1935
sctg_1212	3615	1	1937
sctg_1214	3603	1	1938
sctg_1215	3578	1	1939
sctg_122	487711	42	1940
sctg_1226	3460	1	1982
sctg_123	494152	43	1983
sctg_1230	4305	1	2026
sctg_1232	3412	2	2027
sctg_1233	3410	1	2029
sctg_1234	3398	1	2030
sctg_1237	3373	2	2031
sctg_124	476472	42	2033
sctg_1242	3339	1	2075
sctg_1243	5827	1	2076
sctg_1246	3295	1	2077
sctg_1247	6164	1	2078
sctg_1249	3272	2	2079
sctg_125	479714	45	2081
sctg_1250	3263	2	2126
sctg_1251	4029	2	2128
sctg_1252	3250	2	2130
sctg_1253	3243	1	2132
sctg_1254	3240	1	2133
sctg_1256	3228	2	2134
sctg_1257	3226	1	2136
sctg_126	483671	42	2137
sctg_1262	3198	1	2179
sctg_1263	3181	1	2180
sctg_1269	7171	2	2181
sctg_127	478815	44	2183
sctg_1270	3148	2	2227
sctg_1273	3117	2	2229
sctg_1274	3109	2	2231
sctg_1276	5519	1	2233
sctg_1277	3093	2	2234
sctg_1278	3087	1	2236
sctg_1279	3085	1	2237
sctg_128	478782	41	2238
sctg_1280	3084	2	2279
sctg_1283	3076	2	2281
sctg_1285	3067	1	2283
sctg_1286	3060	2	2284
sctg_1288	3047	1	2286
sctg_1289	3042	1	2287
sctg_129	473873	40	2288
sctg_1292	3023	2	2328
sctg_1295	3005	2	2330
sctg_1296	2976	2	2332
sctg_1297	3000	1	2334
sctg_1298	2974	2	2335
sctg_1299	2995	2	2337
sctg_13	1198315	107	2339
sctg_130	461857	43	2446
sctg_1303	2964	2	2489
sctg_1304	2958	1	2491
sctg_1305	2958	1	2492
sctg_1307	2954	1	2493
sctg_1308	2952	2	2494
sctg_1309	2950	2	2496
sctg_131	469652	38	2498
sctg_1310	2945	1	2536
sctg_1311	2939	1	2537
sctg_1318	2911	2	2538
sctg_132	456593	44	2540
sctg_1323	2882	2	2584
sctg_1326	2876	2	2586
sctg_133	463476	42	2588
sctg_1330	2861	1	2630
sctg_1332	2844	2	2631
sctg_1334	2845	2	2633
sctg_1335	6167	1	2635
sctg_1336	2835	2	2636
sctg_1337	2834	2	2638
sctg_1338	2821	2	2640
sctg_1339	2820	2	2642
sctg_134	451763	43	2644
sctg_1343	2743	2	2687
sctg_1345	2805	2	2689
sctg_1346	2800	2	2691
sctg_1347	2799	2	2693
sctg_1349	2788	1	2695
sctg_135	450597	41	2696
sctg_1351	2779	2	2737
sctg_1356	2768	1	2739
sctg_1359	2749	2	2740
sctg_136	452496	41	2742
sctg_1360	2747	1	2783
sctg_1361	2747	1	2784
sctg_1362	2719	2	2785
sctg_1363	2742	1	2787
sctg_1364	2738	2	2788
sctg_1366	2736	1	2790
sctg_1367	2733	2	2791
sctg_1368	2722	2	2793
sctg_137	453703	38	2795
sctg_1370	2712	1	2833
sctg_1372	2705	1	2834
sctg_1376	2690	1	2835
sctg_1379	2686	2	2836
sctg_138	439392	38	2838
sctg_1380	2684	2	2876
sctg_1383	2678	1	2878
sctg_1384	2677	1	2879
sctg_1387	2673	1	2880
sctg_1389	2667	2	2881
sctg_139	445129	38	2883
sctg_1390	2666	2	2921
sctg_1394	2654	1	2923
sctg_1395	2652	2	2924
sctg_1396	2650	2	2926
sctg_1397	2648	2	2928
sctg_1398	2644	1	2930
sctg_1399	2642	1	2931
sctg_14	1172230	108	2932
sctg_140	440654	44	3040
sctg_1401	2640	1	3084
sctg_1402	2639	1	3085
sctg_1404	2601	1	3086
sctg_1407	2589	1	3087
sctg_1409	2622	1	3088
sctg_141	435803	40	3089
sctg_1410	2621	1	3129
sctg_1414	2615	1	3130
sctg_1416	2613	2	3131
sctg_1417	2606	2	3133
sctg_1419	2589	1	3135
sctg_142	439664	37	3136
sctg_1420	2588	1	3173
sctg_1421	2587	2	3174
sctg_1422	2584	2	3176
sctg_1423	2536	1	3178
sctg_1424	2580	1	3179
sctg_1425	2512	2	3180
sctg_1428	2569	1	3182
sctg_143	432829	40	3183
sctg_1430	2566	2	3223
sctg_1436	2543	2	3225
sctg_1438	2487	2	3227
sctg_1439	2538	2	3229
sctg_144	431193	38	3231
sctg_1441	2540	1	3269
sctg_1443	2532	1	3270
sctg_1446	2530	2	3271
sctg_1447	2530	2	3273
sctg_1448	2529	2	3275
sctg_145	436202	36	3277
sctg_1450	2524	1	3313
sctg_1452	2521	2	3314
sctg_1455	2511	1	3316
sctg_1456	2511	2	3317
sctg_1459	2500	1	3319
sctg_146	434360	40	3320
sctg_1460	2498	2	3360
sctg_1461	2498	2	3362
sctg_1462	2497	2	3364
sctg_1463	2497	2	3366
sctg_1464	2493	1	3368
sctg_1467	2486	1	3369
sctg_1468	2486	2	3370
sctg_147	421466	37	3372
sctg_1472	2473	2	3409
sctg_1473	2473	2	3411
sctg_1474	2472	1	3413
sctg_1475	2464	1	3414
sctg_1476	2459	2	3415
sctg_1477	2462	1	3417
sctg_1478	2458	1	3418
sctg_148	424104	39	3419
sctg_1480	2416	2	3458
sctg_1482	2422	2	3460
sctg_1484	2409	1	3462
sctg_1485	2455	2	3463
sctg_1487	2451	1	3465
sctg_149	416312	38	3466
sctg_1490	2446	1	3504
sctg_1491	2443	2	3505
sctg_1492	2442	2	3507
sctg_1493	2440	1	3509
sctg_1494	2403	1	3510
sctg_1495	2436	2	3511
sctg_1496	2403	1	3513
sctg_1497	2403	1	3514
sctg_15	1139494	99	3515
sctg_150	422720	37	3614
sctg_1502	2427	1	3651
sctg_1505	2423	1	3652
sctg_1506	2421	1	3653
sctg_1509	2418	1	3654
sctg_151	413142	36	3655
sctg_1511	2413	1	3691
sctg_1515	2407	2	3692
sctg_1516	2406	2	3694
sctg_1517	2402	1	3696
sctg_1518	2401	2	3697
sctg_1519	2400	1	3699
sctg_152	420878	36	3700
sctg_1520	2399	2	3736
