contig	length_kb	n_frags	cumul_length
sctg_0	3745584	110	0
sctg_10	1271836	40	110
sctg_100	546921	17	150
sctg_1000	6814	1	167
sctg_1001	6781	2	168
sctg_1002	6756	2	170
sctg_1003	6685	2	172
sctg_1004	6716	2	174
sctg_1006	6569	1	176
sctg_1007	6549	2	177
sctg_1008	6555	1	179
sctg_1009	6537	2	180
sctg_101	536733	16	182
sctg_1010	6597	2	198
sctg_1011	6515	2	200
sctg_1012	7278	1	202
sctg_1013	6499	1	203
sctg_1014	12980	1	204
sctg_1015	6416	2	205
sctg_1016	6410	1	207
sctg_1017	6407	2	208
sctg_1018	6380	2	210
sctg_1019	6846	2	212
sctg_102	520191	16	214
sctg_1020	6345	1	230
sctg_1021	6315	2	231
sctg_1022	6313	1	233
sctg_1023	6307	2	234
sctg_1024	6307	2	236
sctg_1026	13677	2	238
sctg_1027	8812	1	240
sctg_1028	14884	1	241
sctg_1029	6278	1	242
sctg_103	523379	15	243
sctg_1030	6264	2	258
sctg_1031	6254	2	260
sctg_1032	6248	2	262
sctg_1033	6243	1	264
sctg_1034	6234	1	265
sctg_1035	15062	1	266
sctg_1036	8633	1	267
sctg_1037	6207	2	268
sctg_1038	6258	2	270
sctg_1039	6183	1	272
sctg_104	522721	15	273
sctg_1040	5073	2	288
sctg_1041	6242	2	290
sctg_1042	6125	2	292
sctg_1043	6221	2	294
sctg_1044	6079	2	296
sctg_1045	6040	2	298
sctg_1046	6030	1	300
sctg_1047	6240	2	301
sctg_1048	6016	1	303
sctg_1049	6015	2	304
sctg_105	521263	15	306
sctg_1051	5972	2	321
sctg_1052	5968	1	323
sctg_1053	13894	1	324
sctg_1054	5951	2	325
sctg_1055	6522	2	327
sctg_1056	5934	1	329
sctg_1058	5928	2	330
sctg_1059	5925	1	332
sctg_106	515965	16	333
sctg_1060	5909	2	349
sctg_1061	5894	2	351
sctg_1062	5885	2	353
sctg_1063	5884	1	355
sctg_1064	5876	1	356
sctg_1065	5859	1	357
sctg_1066	6827	1	358
sctg_1067	5833	2	359
sctg_1068	4000	2	361
sctg_1069	5761	1	363
sctg_107	521539	15	364
sctg_1070	5768	2	379
sctg_1071	5764	2	381
sctg_1072	5754	1	383
sctg_1073	5752	1	384
sctg_1074	5799	2	385
sctg_1075	7698	2	387
sctg_1076	5691	2	389
sctg_1077	5613	1	391
sctg_1078	5633	2	392
sctg_1079	5697	1	394
sctg_108	521777	16	395
sctg_1080	6036	2	411
sctg_1081	5574	2	413
sctg_1082	6817	2	415
sctg_1083	5660	2	417
sctg_1084	5551	2	419
sctg_1085	7155	1	421
sctg_1086	5498	2	422
sctg_1087	5492	1	424
sctg_1088	6276	2	425
sctg_1089	10690	2	427
sctg_109	511637	16	429
sctg_1090	6191	2	445
sctg_1091	5426	1	447
sctg_1092	5641	2	448
sctg_1093	5382	2	450
sctg_1094	6283	1	452
sctg_1095	8793	1	453
sctg_1097	5357	2	454
sctg_1098	5323	2	456
sctg_1099	6148	2	458
sctg_11	1201849	37	460
sctg_110	518109	14	497
sctg_1100	5400	2	511
sctg_1101	5385	1	513
sctg_1102	5281	2	514
sctg_1103	5404	2	516
sctg_1104	5225	2	518
sctg_1105	5188	2	520
sctg_1106	5185	1	522
sctg_1107	5357	1	523
sctg_1108	5453	2	524
sctg_1109	5160	1	526
sctg_111	507503	15	527
sctg_1110	5157	2	542
sctg_1111	6071	2	544
sctg_1112	5116	2	546
sctg_1113	9309	1	548
sctg_1114	5082	2	549
sctg_1115	6407	2	551
sctg_1116	5232	1	553
sctg_1117	5094	2	554
sctg_1118	4977	2	556
sctg_1119	13383	2	558
sctg_112	523010	15	560
sctg_1120	4942	2	575
sctg_1122	6119	1	577
sctg_1123	6258	1	578
sctg_1124	4916	1	579
sctg_1125	5477	1	580
sctg_1126	4914	2	581
sctg_1127	5881	1	583
sctg_1128	3611	1	584
sctg_1129	12920	1	585
sctg_113	497380	15	586
sctg_1130	4893	2	601
sctg_1131	4847	2	603
sctg_1132	6323	1	605
sctg_1133	7053	1	606
sctg_1135	6807	2	607
sctg_1136	4812	2	609
sctg_1137	6368	2	611
sctg_1138	4762	2	613
sctg_1139	4326	1	615
sctg_114	502603	14	616
sctg_1140	6597	1	630
sctg_1141	6101	2	631
sctg_1143	6148	2	633
sctg_1144	4647	2	635
sctg_1146	4627	1	637
sctg_1147	4576	2	638
sctg_1148	5345	2	640
sctg_1149	4604	2	642
sctg_115	504428	15	644
sctg_1150	3644	2	659
sctg_1151	4688	1	661
sctg_1152	4578	1	662
sctg_1154	4537	1	663
sctg_1156	4501	2	664
sctg_1157	4473	2	666
sctg_1158	3763	2	668
sctg_116	506676	14	670
sctg_1160	4561	2	684
sctg_1161	4460	2	686
sctg_1162	4453	1	688
sctg_1163	4450	2	689
sctg_1166	4904	2	691
sctg_1167	4510	2	693
sctg_1168	4333	2	695
sctg_117	508313	14	697
sctg_1171	4460	2	711
sctg_1172	4309	1	713
sctg_1173	7246	2	714
sctg_1175	3664	2	716
sctg_1177	12690	2	718
sctg_118	496777	14	720
sctg_1180	4197	1	734
sctg_1182	4322	2	735
sctg_1183	4677	2	737
sctg_1186	4041	2	739
sctg_1187	4057	2	741
sctg_1189	3515	1	743
sctg_119	491596	16	744
sctg_1190	4113	2	760
sctg_1192	3977	2	762
sctg_1193	3933	2	764
sctg_1194	3915	1	766
sctg_1195	3912	1	767
sctg_1199	3903	1	768
sctg_12	1207602	36	769
sctg_120	483608	15	805
sctg_1202	3794	1	820
sctg_1203	3793	2	821
sctg_1204	6539	1	823
