contig	length_kb	n_frags	cumul_length
sctg_0	3745584	2	0
sctg_10	1271836	2	2
sctg_100	546921	2	4
sctg_1000	6814	1	6
sctg_1001	6781	2	7
sctg_1002	6756	2	9
sctg_1003	6685	2	11
sctg_1004	6716	2	13
sctg_1006	6569	1	15
sctg_1007	6549	2	16
sctg_1008	6555	1	18
sctg_1009	6537	2	19
sctg_101	536733	2	21
sctg_1010	6597	2	23
sctg_1011	6515	2	25
sctg_1012	7278	1	27
sctg_1013	6499	1	28
sctg_1014	12980	1	29
sctg_1015	6416	2	30
sctg_1016	6410	1	32
sctg_1017	6407	2	33
sctg_1018	6380	2	35
sctg_1019	6846	2	37
sctg_102	520191	2	39
sctg_1020	6345	1	41
sctg_1021	6315	2	42
sctg_1022	6313	1	44
sctg_1023	6307	2	45
sctg_1024	6307	2	47
sctg_1026	13677	2	49
sctg_1027	8812	1	51
sctg_1028	14884	1	52
sctg_1029	6278	1	53
sctg_103	523379	2	54
sctg_1030	6264	2	56
sctg_1031	6254	2	58
sctg_1032	6248	2	60
sctg_1033	6243	1	62
sctg_1034	6234	1	63
sctg_1035	15062	1	64
sctg_1036	8633	1	65
sctg_1037	6207	2	66
sctg_1038	6258	2	68
sctg_1039	6183	1	70
sctg_104	522721	2	71
sctg_1040	5073	2	73
sctg_1041	6242	2	75
sctg_1042	6125	2	77
sctg_1043	6221	2	79
sctg_1044	6079	2	81
sctg_1045	6040	2	83
sctg_1046	6030	1	85
sctg_1047	6240	2	86
sctg_1048	6016	1	88
sctg_1049	6015	2	89
sctg_105	521263	2	91
sctg_1051	5972	2	93
sctg_1052	5968	1	95
sctg_1053	13894	1	96
sctg_1054	5951	2	97
sctg_1055	6522	2	99
sctg_1056	5934	1	101
sctg_1058	5928	2	102
sctg_1059	5925	1	104
sctg_106	515965	2	105
sctg_1060	5909	2	107
sctg_1061	5894	2	109
sctg_1062	5885	2	111
sctg_1063	5884	1	113
sctg_1064	5876	1	114
sctg_1065	5859	1	115
sctg_1066	6827	1	116
sctg_1067	5833	2	117
sctg_1068	4000	2	119
sctg_1069	5761	1	121
sctg_107	521539	2	122
sctg_1070	5768	2	124
sctg_1071	5764	2	126
sctg_1072	5754	1	128
sctg_1073	5752	1	129
sctg_1074	5799	2	130
sctg_1075	7698	2	132
sctg_1076	5691	2	134
sctg_1077	5613	1	136
sctg_1078	5633	2	137
sctg_1079	5697	1	139
sctg_108	521777	2	140
sctg_1080	6036	2	142
sctg_1081	5574	2	144
sctg_1082	6817	2	146
sctg_1083	5660	2	148
sctg_1084	5551	2	150
sctg_1085	7155	1	152
sctg_1086	5498	2	153
sctg_1087	5492	1	155
sctg_1088	6276	2	156
sctg_1089	10690	2	158
sctg_109	511637	2	160
sctg_1090	6191	2	162
sctg_1091	5426	1	164
sctg_1092	5641	2	165
sctg_1093	5382	2	167
sctg_1094	6283	1	169
sctg_1095	8793	1	170
sctg_1097	5357	2	171
sctg_1098	5323	2	173
sctg_1099	6148	2	175
sctg_11	1201849	2	177
sctg_110	518109	2	179
sctg_1100	5400	2	181
sctg_1101	5385	1	183
sctg_1102	5281	2	184
sctg_1103	5404	2	186
sctg_1104	5225	2	188
sctg_1105	5188	2	190
sctg_1106	5185	1	192
sctg_1107	5357	1	193
sctg_1108	5453	2	194
sctg_1109	5160	1	196
sctg_111	507503	2	197
sctg_1110	5157	2	199
sctg_1111	6071	2	201
sctg_1112	5116	2	203
sctg_1113	9309	1	205
sctg_1114	5082	2	206
sctg_1115	6407	2	208
sctg_1116	5232	1	210
sctg_1117	5094	2	211
sctg_1118	4977	2	213
sctg_1119	13383	2	215
sctg_112	523010	2	217
sctg_1120	4942	2	219
sctg_1122	6119	1	221
sctg_1123	6258	1	222
sctg_1124	4916	1	223
sctg_1125	5477	1	224
sctg_1126	4914	2	225
sctg_1127	5881	1	227
sctg_1128	3611	1	228
sctg_1129	12920	1	229
sctg_113	497380	2	230
sctg_1130	4893	2	232
sctg_1131	4847	2	234
sctg_1132	6323	1	236
sctg_1133	7053	1	237
sctg_1135	6807	2	238
sctg_1136	4812	2	240
sctg_1137	6368	2	242
sctg_1138	4762	2	244
sctg_1139	4326	1	246
sctg_114	502603	2	247
sctg_1140	6597	1	249
sctg_1141	6101	2	250
sctg_1143	6148	2	252
sctg_1144	4647	2	254
sctg_1146	4627	1	256
sctg_1147	4576	2	257
sctg_1148	5345	2	259
sctg_1149	4604	2	261
sctg_115	504428	2	263
sctg_1150	3644	2	265
sctg_1151	4688	1	267
sctg_1152	4578	1	268
sctg_1154	4537	1	269
sctg_1156	4501	2	270
sctg_1157	4473	2	272
sctg_1158	3763	2	274
sctg_116	506676	2	276
sctg_1160	4561	2	278
sctg_1161	4460	2	280
sctg_1162	4453	1	282
sctg_1163	4450	2	283
sctg_1166	4904	2	285
