id	chrom	start_pos	end_pos	size	gc_content	accu_frag	init_frag_start	init_frag_end	sub_frag_start	sub_frag_end
1	sctg_0	0	2735151	2735151	0.5392986342494234	6561	1	6561	1	3
2	sctg_0	2735151	3745584	1010433	0.5515123900662483	2319	6562	8880	4	5
1	sctg_10	0	895409	895409	0.5335358183212163	2187	1	2187	6	6
2	sctg_10	895409	1271836	376427	0.5410446335198316	1023	2188	3210	7	7
1	sctg_100	0	289405	289405	0.5320248446473711	729	1	729	8	8
2	sctg_100	289405	546921	257516	0.5396703817686523	628	730	1357	9	9
1	sctg_1000	0	6814	6814	0.5555063767388951	24	1	24	10	10
1	sctg_1001	0	2772	2772	0.5469334339897222	9	1	9	11	11
2	sctg_1001	2772	6781	4009	0.5227268076261111	8	10	17	12	12
1	sctg_1002	0	4733	4733	0.4817831740172222	9	1	9	13	13
2	sctg_1002	4733	6756	2023	0.5236339542493333	5	10	14	14	14
1	sctg_1003	0	5156	5156	0.5128860687118704	9	1	9	15	15
2	sctg_1003	5156	6685	1529	0.5711345627243056	6	10	15	16	16
1	sctg_1004	0	3789	3789	0.5305111899297777	9	1	9	17	17
2	sctg_1004	3789	6716	2927	0.5192530081354444	7	10	16	18	18
1	sctg_1006	0	6569	6569	0.562200956825037	20	1	20	19	19
1	sctg_1007	0	3979	3979	0.5225309204249444	9	1	9	20	20
2	sctg_1007	3979	6549	2570	0.5312891747333889	8	10	17	21	21
1	sctg_1008	0	6555	6555	0.5130613799640987	19	1	19	22	22
1	sctg_1009	0	2576	2576	0.5122861298541111	9	1	9	23	23
2	sctg_1009	2576	6537	3961	0.550729268369537	8	10	17	24	24
1	sctg_101	0	326462	326462	0.5250639222451675	729	1	729	25	25
2	sctg_101	326462	536733	210271	0.5185924443595249	515	730	1244	26	26
1	sctg_1010	0	4303	4303	0.5281106792717778	9	1	9	27	27
2	sctg_1010	4303	6597	2294	0.5438796036716667	5	10	14	28	28
1	sctg_1011	0	4342	4342	0.534011734145111	9	1	9	29	29
2	sctg_1011	4342	6515	2173	0.5399463022138332	8	10	17	30	30
1	sctg_1012	0	7278	7278	0.6669783516660037	23	1	23	31	31
1	sctg_1013	0	6499	6499	0.5148636279046112	22	1	22	32	32
1	sctg_1014	0	12980	12980	0.5402024137397462	23	1	23	33	33
1	sctg_1015	0	5304	5304	0.5220120806519445	9	1	9	34	34
2	sctg_1015	5304	6416	1112	0.53225140529	4	10	13	35	35
1	sctg_1016	0	6410	6410	0.5556210946476914	21	1	21	36	36
1	sctg_1017	0	4025	4025	0.5553339971143333	9	1	9	37	37
2	sctg_1017	4025	6407	2382	0.5763984912104815	7	10	16	38	38
1	sctg_1018	0	3430	3430	0.5606574985252223	9	1	9	39	39
2	sctg_1018	3430	6380	2950	0.5162366747906667	7	10	16	40	40
1	sctg_1019	0	4009	4009	0.49047021036792593	9	1	9	41	41
