contig	length_kb	n_frags	cumul_length
sctg_0	3745584	987	0
sctg_10	1271836	357	987
sctg_100	546921	151	1344
sctg_1000	6814	3	1495
sctg_1001	6781	2	1498
sctg_1002	6756	2	1500
sctg_1003	6685	2	1502
sctg_1004	6716	2	1504
sctg_1006	6569	3	1506
sctg_1007	6549	2	1509
sctg_1008	6555	3	1511
sctg_1009	6537	2	1514
sctg_101	536733	139	1516
sctg_1010	6597	2	1655
sctg_1011	6515	2	1657
sctg_1012	7278	3	1659
sctg_1013	6499	3	1662
sctg_1014	12980	3	1665
sctg_1015	6416	2	1668
sctg_1016	6410	3	1670
sctg_1017	6407	2	1673
sctg_1018	6380	2	1675
sctg_1019	6846	2	1677
sctg_102	520191	141	1679
sctg_1020	6345	3	1820
sctg_1021	6315	2	1823
sctg_1022	6313	3	1825
sctg_1023	6307	2	1828
sctg_1024	6307	2	1830
sctg_1026	13677	2	1832
sctg_1027	8812	1	1834
sctg_1028	14884	3	1835
sctg_1029	6278	1	1838
sctg_103	523379	133	1839
sctg_1030	6264	2	1972
sctg_1031	6254	2	1974
sctg_1032	6248	2	1976
sctg_1033	6243	3	1978
sctg_1034	6234	3	1981
sctg_1035	15062	1	1984
sctg_1036	8633	1	1985
sctg_1037	6207	2	1986
sctg_1038	6258	2	1988
sctg_1039	6183	3	1990
sctg_104	522721	131	1993
sctg_1040	5073	4	2124
sctg_1041	6242	2	2128
sctg_1042	6125	2	2130
sctg_1043	6221	2	2132
sctg_1044	6079	2	2134
sctg_1045	6040	2	2136
sctg_1046	6030	3	2138
sctg_1047	6240	2	2141
sctg_1048	6016	3	2143
sctg_1049	6015	2	2146
sctg_105	521263	129	2148
sctg_1051	5972	2	2277
sctg_1052	5968	3	2279
sctg_1053	13894	1	2282
sctg_1054	5951	2	2283
sctg_1055	6522	4	2285
sctg_1056	5934	1	2289
sctg_1058	5928	2	2290
sctg_1059	5925	3	2292
sctg_106	515965	141	2295
sctg_1060	5909	2	2436
sctg_1061	5894	2	2438
sctg_1062	5885	2	2440
sctg_1063	5884	3	2442
sctg_1064	5876	3	2445
sctg_1065	5859	3	2448
sctg_1066	6827	1	2451
sctg_1067	5833	2	2452
sctg_1068	4000	2	2454
sctg_1069	5761	3	2456
sctg_107	521539	134	2459
sctg_1070	5768	2	2593
sctg_1071	5764	2	2595
sctg_1072	5754	3	2597
sctg_1073	5752	3	2600
sctg_1074	5799	2	2603
sctg_1075	7698	2	2605
sctg_1076	5691	2	2607
sctg_1077	5613	3	2609
sctg_1078	5633	2	2612
sctg_1079	5697	3	2614
sctg_108	521777	136	2617
sctg_1080	6036	2	2753
sctg_1081	5574	2	2755
sctg_1082	6817	2	2757
sctg_1083	5660	2	2759
sctg_1084	5551	2	2761
sctg_1085	7155	1	2763
sctg_1086	5498	2	2764
sctg_1087	5492	3	2766
sctg_1088	6276	2	2769
sctg_1089	10690	2	2771
sctg_109	511637	142	2773
sctg_1090	6191	4	2915
sctg_1091	5426	3	2919
sctg_1092	5641	2	2922
sctg_1093	5382	2	2924
sctg_1094	6283	1	2926
sctg_1095	8793	1	2927
sctg_1097	5357	2	2928
sctg_1098	5323	2	2930
sctg_1099	6148	2	2932
sctg_11	1201849	329	2934
sctg_110	518109	126	3263
sctg_1100	5400	2	3389
sctg_1101	5385	1	3391
sctg_1102	5281	2	3392
sctg_1103	5404	2	3394
sctg_1104	5225	2	3396
sctg_1105	5188	2	3398
sctg_1106	5185	1	3400
sctg_1107	5357	1	3401
sctg_1108	5453	2	3402
sctg_1109	5160	3	3404
sctg_111	507503	131	3407
sctg_1110	5157	2	3538
sctg_1111	6071	2	3540
sctg_1112	5116	2	3542
sctg_1113	9309	1	3544
sctg_1114	5082	2	3545
sctg_1115	6407	2	3547
sctg_1116	5232	1	3549
sctg_1117	5094	2	3550
sctg_1118	4977	2	3552
sctg_1119	13383	2	3554
sctg_112	523010	134	3556
sctg_1120	4942	2	3690
sctg_1122	6119	1	3692
sctg_1123	6258	1	3693
sctg_1124	4916	1	3694
