contig	length_kb	n_frags	cumul_length
sctg_0	3745584	2960	0
sctg_10	1271836	1070	2960
sctg_100	546921	453	4030
sctg_1000	6814	8	4483
sctg_1001	6781	6	4491
sctg_1002	6756	5	4497
sctg_1003	6685	5	4502
sctg_1004	6716	6	4507
sctg_1006	6569	7	4513
sctg_1007	6549	6	4520
sctg_1008	6555	7	4526
sctg_1009	6537	6	4533
sctg_101	536733	415	4539
sctg_1010	6597	5	4954
sctg_1011	6515	6	4959
sctg_1012	7278	8	4965
sctg_1013	6499	8	4973
sctg_1014	12980	8	4981
sctg_1015	6416	5	4989
sctg_1016	6410	7	4994
sctg_1017	6407	6	5001
sctg_1018	6380	6	5007
sctg_1019	6846	5	5013
sctg_102	520191	422	5018
sctg_1020	6345	7	5440
sctg_1021	6315	4	5447
sctg_1022	6313	8	5451
sctg_1023	6307	6	5459
sctg_1024	6307	5	5465
sctg_1026	13677	4	5470
sctg_1027	8812	3	5474
sctg_1028	14884	7	5477
sctg_1029	6278	3	5484
sctg_103	523379	397	5487
sctg_1030	6264	4	5884
sctg_1031	6254	6	5888
sctg_1032	6248	5	5894
sctg_1033	6243	7	5899
sctg_1034	6234	9	5906
sctg_1035	15062	3	5915
sctg_1036	8633	1	5918
sctg_1037	6207	4	5919
sctg_1038	6258	5	5923
sctg_1039	6183	7	5928
sctg_104	522721	391	5935
sctg_1040	5073	10	6326
sctg_1041	6242	5	6336
sctg_1042	6125	6	6341
sctg_1043	6221	6	6347
sctg_1044	6079	4	6353
sctg_1045	6040	4	6357
sctg_1046	6030	8	6361
sctg_1047	6240	5	6369
sctg_1048	6016	7	6374
sctg_1049	6015	2	6381
sctg_105	521263	385	6383
sctg_1051	5972	6	6768
sctg_1052	5968	7	6774
sctg_1053	13894	3	6781
sctg_1054	5951	5	6784
sctg_1055	6522	11	6789
sctg_1056	5934	3	6800
sctg_1058	5928	6	6803
sctg_1059	5925	9	6809
sctg_106	515965	422	6818
sctg_1060	5909	5	7240
sctg_1061	5894	4	7245
sctg_1062	5885	6	7249
sctg_1063	5884	8	7255
sctg_1064	5876	8	7263
sctg_1065	5859	7	7271
sctg_1066	6827	3	7278
sctg_1067	5833	4	7281
sctg_1068	4000	4	7285
sctg_1069	5761	7	7289
sctg_107	521539	402	7296
sctg_1070	5768	6	7698
sctg_1071	5764	4	7704
sctg_1072	5754	7	7708
sctg_1073	5752	8	7715
sctg_1074	5799	6	7723
sctg_1075	7698	5	7729
sctg_1076	5691	5	7734
sctg_1077	5613	7	7739
sctg_1078	5633	5	7746
sctg_1079	5697	7	7751
sctg_108	521777	406	7758
sctg_1080	6036	2	8164
sctg_1081	5574	5	8166
sctg_1082	6817	2	8171
sctg_1083	5660	4	8173
sctg_1084	5551	5	8177
sctg_1085	7155	1	8182
sctg_1086	5498	4	8183
sctg_1087	5492	7	8187
sctg_1088	6276	2	8194
sctg_1089	10690	4	8196
